,a-bank,alpari bank,altbank,ap bank,asvio bank,b concord,b industrialbank,b lviv,bank 3/4,bank alliance,bank avangard,bank credit dnipro,bank familny,bank for investments and savings,bank grant,bank portal,bank trust-capital,bank ukrainian capital,bank vostok,bta bank,cb accordbank,cb globus,cb privatbank,citibank,clearing house,cominvestbank,credit agricole bank,credit europe bank,creditwest bank,crystalbank,deutsche bank dbu,eib,first investment bank,fuib,ibox bank,idea bank,iib,ing bank ukraine,kredobank,metabank,motor-bank,mtb bank,okci bank,oschadbank,otp bank,piraeus bank icb,pivdennyi bank,policombank,poltava-bank,pravex bank,procredit bank,radabank,raiffeisen bank,rws bank,seb corporate bank,sense bank,sky bank,tascombank,ukrainian bank for reconstruction and development,ukrconstinvestbank,ukreximbank,ukrgasbank,ukrsibbank,unex bank,universal bank
2020/12/01,10606792.82652,304015.90935000003,1152312.60083,1545749.73505,1199510.64397,2511194.72601,4601189.54552,4404005.61165,1345459.83434,6107107.93923,1877588.88053,14823586.91146,398734.42336,4452906.79129,1933549.3837,352201.86919,321350.58168,1134149.14843,15066786.41356,513586.52474,5629253.30746,4397481.159320001,556545773.89808,30569087.295500003,3501572.65872,1412064.13989,52794275.76803,880192.08725,2041799.78269,3214363.2579,3485283.59104,602578.06034,1639161.73604,82042288.75735,2193844.9585100003,8238677.21286,4152251.61244,13151035.89989,24853361.2194,1059542.82022,1651289.3811700002,6948344.38067,644843.7462099999,268398897.67600003,60404989.34009001,3675075.50053,31805285.65555,850680.2591,3039312.51468,6873967.77888,27291320.66343,3244078.36556,105237271.56216,2064244.05088,2634662.5871200003,102980161.64195,873758.38852,24641884.33272,439727.29632,1398203.48196,242387014.14612,160382295.63724,73267193.00003001,815634.73471,32315635.42008
2021/01/01,10878823.26309,250521.94997,1580217.96019,1740514.96045,1499364.16945,2826117.76285,4601073.75315,5042892.01337,1400792.77974,7664343.48599,1975095.52191,16294504.00134,510943.58703,4634714.35163,1963748.15148,334651.75705,392758.20879,1301915.64998,16572031.376210002,468755.85201,6669350.19741,5563576.70066,566179319.9185001,28005375.252110004,3586646.6776,1388996.2208299998,52053778.91423,964750.61765,2085030.35443,2952557.73664,4256839.05117,624675.96227,1847490.29356,80871343.97868,2115271.77056,7901809.58121,3996947.35295,12174521.66971,26173800.29881,1110614.6626499998,1881596.13494,8561857.1001,708915.2433500001,268759302.6474,62824339.49791999,4151049.93216,37387364.84562001,882251.53977,3256369.48848,7723779.32475,27796241.13562,3205980.99847,113628316.55458,2328525.6851,3399023.05211,112494706.04028,1100758.51524,24715245.6761,451199.04716,1976152.96159,245631706.31079,151660867.7549,74638058.62934,891338.97631,36926291.93623
2021/02/01,11357024.92577,267973.31428999995,1036705.76524,1788692.4076599998,1501017.2682900005,3434149.17021,4544418.4273,4943762.963249999,1433415.78538,8834008.15992,1954279.88416,15627877.18284,412670.94328,4424608.470989999,1984242.28626,333403.11103,352052.6928,1350093.67786,16933646.26706,348137.16031,6908974.10982,4994563.022270001,560261598.85777,28124975.43062,3614392.72099,1365502.92935,52865379.89766,909992.52785,1955524.50608,3707086.01134,4412792.76175,691135.4352799999,2015827.72445,85590789.53295,2239665.28367,7826866.2958,3829096.69582,12773665.62522,26806056.61531,1152668.88037,1759136.62548,7823208.69466,805433.2322,278543325.81922,62464891.81391,4333628.81569,36518658.58009,838183.99463,3166437.60652,6999656.9774400005,27328901.75722,3078532.03025,117493463.52263002,2557739.32944,2745140.01923,111511057.32084,1050404.4630399998,24722774.27217,453522.13844,1714571.13172,236828268.27005,150670459.04825,72449199.56216998,884612.5836,38706364.48624001
2021/03/01,11483969.205759998,262714.27562,1043072.14488,1726178.9761599998,1720453.81163,3520991.35429,4724548.71121,4996333.88401,1475669.38024,7882197.48541,2046146.72098,15408682.940309998,436529.99109,4595842.81986,1976919.24899,332328.36812,309930.23971,1488147.17004,17383006.208070002,392706.13985,7236854.41862,5285452.503699999,561062326.9796299,28465164.44481,3473880.3343299995,1358387.71795,52668520.6349,931798.56274,1896680.58012,4313378.72841,3913861.55811,750638.84233,2250164.97946,85516056.74177001,2152888.96449,7944290.59637,3909571.15732,12012955.25362,26187788.8692,1306340.87676,1826152.07224,8145472.45321,745191.8997800001,279701845.27692,65064002.08460999,4432331.75392,34953599.33858,851501.7393400001,3195108.6084600003,6972747.238190001,27413426.79154,3136637.84779,118335544.58731,2820555.09579,3165705.08661,109940523.73769,1070549.67779,25476190.13742,452704.91809,2002669.06054,237061363.26594,149523513.93891,70322063.00324,875019.51805,40200252.46759
2021/04/01,11346905.57238,269358.41959,874533.03192,1952326.41903,1411018.56811,3380353.37745,4723526.11799,5086921.51868,1294999.63639,9157909.56821,2117184.8335200003,16850228.86993,388677.31514,4474116.46173,2004642.14902,320192.44561,314124.09632,1664536.41917,16556214.83243,457331.31227,7867614.806100001,5636170.28959,554920282.5585899,27690298.23664,3814112.98436,1360142.6297799998,51977968.80525,873125.5083599999,1870880.0987,4467746.30919,3227703.42613,727546.47377,2642919.6009400003,90170349.2985,2476529.65621,8030572.87942,4182851.02815,12119077.33792,27206932.60999,1385942.9227999998,1508469.87775,8192057.33012,703058.37952,288524033.62071,65579281.60382,4452258.30987,35216764.86838,854631.5794499998,3189528.95784,7231733.450870001,27599794.416620005,3479053.15775,113723223.41348,3100347.76309,2848943.5627,110644208.19925,1069259.3509600002,25888143.03168,447952.99123,1970553.53951,241407734.99343,139650565.56982,69113888.36397,803795.6092599999,41579450.38106
2021/05/01,11627638.96115,267923.12242,934786.03426,1964370.76663,1291781.6023,3938496.86756,4588866.22518,4969141.55846,1308975.7871899998,9303552.2626,1997222.25799,17835990.02912,463198.37936,4632298.316160001,1985850.60044,319767.54042,319578.17888,1580254.8096,16125149.19655,540922.76124,7913533.549109999,5388185.21806,557603741.87708,27917425.19865,4101872.80568,1336797.69592,49864845.4996,1233605.72071,1784051.4523500002,4345432.42239,3968572.22937,749927.1913,3213996.20737,96472611.05918,2540382.58495,8156372.215740001,4259600.14623,13090241.312220002,26823915.352610003,1665525.9618499998,1501781.92981,8180867.25774,755935.8146,290753315.76309,64294080.34683,4511115.94211,35967673.7134,842908.51123,3191275.21148,7227250.912479999,27449644.87634,3692376.71299,118823653.78353,3484828.38343,2747480.2837300003,111653201.08914,1235854.86932,26165774.85362,415335.14202,2206171.23717,243702562.98816,144004136.20602,70503708.99846001,743659.65478,42710515.91071
2021/06/01,11990081.91933,250574.23103,934208.26327,1940977.04526,1376043.53241,4911582.28581,4555948.9441100005,5185057.451640001,1555836.2151,10723647.575499998,2164306.61231,17450380.46433,382752.39197,4691694.79879,2022805.33551,355233.69061,312767.42675,1599222.87671,16700531.80577,528102.20438,9130894.23036,5448380.03484,550580707.3690901,26349122.98719,4078688.44347,1318718.5588699998,52724341.56695999,931083.3199,2003407.99185,4641060.177,4579767.63948,779171.58873,3298153.77374,92738036.58823,4072573.40781,8390469.945500001,4417000.86015,12559143.98342,27353058.98268,1535500.53497,1601227.18213,8629413.4408,746533.29766,290783132.45919,65853593.73888001,4721308.759249999,36963174.45113,852007.66905,3248794.73218,7394820.424520001,28480736.03041,3646485.79405,118997949.43862998,3528476.98131,2682837.25823,115229464.52977,1362665.93501,25389831.026970003,405334.01069,2273679.7919,252354001.09129,133465824.75363998,71950968.88232,955553.21093,42959632.13721
2021/07/01,12381111.75246,259203.51219000004,961085.77333,1998866.40816,1427508.03832,4456691.64095,5049112.53459,5578325.04266,1660967.60741,11155512.16816,2589448.71059,18103598.24623,357706.13152,4568436.38833,2126076.85345,359843.46519,309913.56797,1566219.81124,16415270.57266,511998.61259,11058165.539770002,6339812.67883,548750291.16003,26976931.15133,4101547.44636,1440617.9241099998,51766148.76332,1214837.28496,2072518.10939,4649487.722469999,4655800.44274,782161.6157799999,3400248.34056,95833419.12877,6270556.10613,8583314.81484,4577707.39317,12699392.891469998,28253806.11008,1778905.9910400002,1735874.70946,10193512.35843,732904.8894,276441936.74131,63899718.11,4391082.82323,38011846.93556,870282.22598,3133459.3942,8091342.0909,28611531.48646,4038614.93127,122471901.10124,3629521.08224,2361614.71602,115596671.67419,1820788.31804,25226368.45142,492942.6503,2349666.91618,246810242.85903,134720201.63489,72622090.40439,1159971.21187,44734355.72384999
2021/08/01,13195177.2714,292047.40894,1005938.55511,2039077.66652,1467513.65666,4969572.94058,5018513.01264,5610536.664220001,1817427.88081,12487624.02416,2700076.60689,18844290.76337,401729.51612,4211333.49971,2088451.05017,347249.58298,349423.11806,1620291.32927,16148921.36643,522194.3174100001,11337333.33466,6063846.17024,548026291.8194,29317967.87996,4011468.72988,1433876.58048,53695670.28888,1055316.4118,2021581.62679,5022632.97135,4903734.520070001,867722.80931,3547036.88563,109270544.52309,5969331.0616,8917483.47845,5116003.779370001,12964296.70906,28326672.50912,1823151.6505,1802441.22547,10700554.172889998,679187.2071,272615869.87454003,64642448.96609,4576247.82386,37285643.68277,872026.1392100002,3170935.62578,7553433.1081,29533950.54753,4131507.66661,124630547.40933,3809663.72301,2454604.78106,118495463.75621,1962965.08706,25638247.022430003,498523.33559,2328625.44009,237028706.43439,128559120.20072,72459429.65937,1170352.26263,47636326.61043999
2021/09/01,13731311.40337,268913.8019,988137.09202,2050444.08563,1448127.25721,5092840.136,5013318.81859,5754707.02232,1713079.03658,12925615.50182,2443717.45426,19282708.74355,351113.05568,4174864.2124,2072681.38082,347368.44046,341600.20651000005,1604851.64691,16753097.045360005,547800.53241,11890904.66585,5647351.596489999,548487622.1473299,34493996.36709,4253895.981509999,1421106.9751,53317702.84054,985068.62705,2014333.57508,5046215.04098,4506635.76471,955041.91583,3598647.86638,99906500.37433,6178776.38695,9140328.255,5396603.86765,14560842.33696,30022768.19104,1814082.04864,1960035.84557,10483913.77962,707394.73418,254538577.87985,65765118.033010006,4621119.71212,38605471.16998,875595.6239300001,3180921.03494,7814660.92276,29284065.77141,4116352.65687,124664080.24136,4053634.53713,2411633.0499,117096908.40007,2124838.57286,25458135.84129,498068.82451,2347580.28702,241973055.1088,124417278.70397,72836032.86136,1312305.99401,49029391.87308
